month,indicator,value
2017-06,pmi,51.7
2017-06,ppi,5.5
2017-06,retail_sales,11.0
2017-06,sf_enterprise,7004.17
2017-06,sf_government,25.4
2017-06,sf_household,7463.19
2017-06,us_cpi,1.6
2017-07,cpi,1.4
2017-07,industrial_production,6.4
2017-07,lpr_1y,4.3
2017-07,m0,6.1
2017-07,m1,15.3
2017-07,m2,8.9
2017-07,pmi,51.4
2017-07,ppi,5.5
2017-07,retail_sales,10.4
2017-07,sf_enterprise,3535.34
2017-07,sf_government,44.7
2017-07,sf_household,5615.7
2017-07,us_cpi,1.7
2017-08,cpi,1.8
2017-08,industrial_production,6.0
2017-08,lpr_1y,4.3
2017-08,m0,6.5
2017-08,m1,14.0
2017-08,m2,8.6
2017-08,pmi,51.7
2017-08,ppi,6.3
2017-08,retail_sales,10.1
2017-08,sf_enterprise,4830.33
2017-08,sf_government,21.6
2017-08,sf_household,6635.4
2017-08,us_cpi,1.9
2017-09,cpi,1.6
2017-09,industrial_production,6.6
2017-09,lpr_1y,4.3
2017-09,m0,7.2
2017-09,m1,14.0
2017-09,m2,9.0
2017-09,pmi,52.4
2017-09,ppi,6.9
2017-09,retail_sales,10.3
2017-09,sf_enterprise,4564.35
2017-09,sf_government,21.6
2017-09,sf_household,7321.62
2017-09,us_cpi,2.2
2017-10,cpi,1.9
2017-10,industrial_production,6.2
2017-10,lpr_1y,4.3
2017-10,m0,6.3
2017-10,m1,13.0
2017-10,m2,8.9
2017-10,pmi,51.6
2017-10,ppi,6.9
2017-10,retail_sales,10.0
2017-10,sf_enterprise,2141.9
2017-10,sf_government,31.3
2017-10,sf_household,4500.83
2017-10,us_cpi,2.0
2017-11,cpi,1.7
2017-11,industrial_production,6.1
2017-11,lpr_1y,4.3
2017-11,m0,5.7
2017-11,m1,12.7
2017-11,m2,9.1
2017-11,pmi,51.8
2017-11,ppi,5.8
2017-11,retail_sales,10.2
2017-11,sf_enterprise,5226.05
2017-11,sf_government,26.0
2017-11,sf_household,6205.39
2017-11,us_cpi,2.2
2017-12,cpi,1.8
2017-12,industrial_production,6.2
2017-12,lpr_1y,4.3
2017-12,m0,3.4
2017-12,m1,11.8
2017-12,m2,8.1
2017-12,pmi,51.6
2017-12,ppi,4.9
2017-12,retail_sales,9.4
2017-12,sf_enterprise,2450.03
2017-12,sf_government,15.2
2017-12,sf_household,3313.43
2017-12,us_cpi,2.1
2018-01,cpi,1.5
2018-01,lpr_1y,4.3
2018-01,m0,-13.81
2018-01,m1,14.97
2018-01,m2,8.62
2018-01,pmi,51.3
